model,threshold,fp_cost,fn_cost,accuracy,balanced_accuracy,precision_1,recall_1,f1_1,mcc,roc_auc,pr_auc,tn,fp,fn,tp,total_cost,avg_cost,scenario,fold
AutoTunedMLP,0.9306060606060605,1,1,0.9361326072418076,0.5681761724411798,0.5982142857142857,0.14326443335709194,0.23116733755031627,0.2713135731116561,0.8372337187298748,0.364765451756247,19396,135,1202,201,1337,0.06386739275819242,cost_1_1,1
AutoTunedMLP,0.5890909090909091,1,10,0.854256233877902,0.7608040955269202,0.2632183908045977,0.6528866714183892,0.37517919311898423,0.3503469737261725,0.8372337187298748,0.364765451756247,16967,2564,487,916,7434,0.355116079105761,cost_1_10,1
LogisticRegression,0.9603030303030302,1,1,0.9354638387312506,0.5860106051410202,0.5565217391304348,0.18246614397719174,0.274825550187869,0.2934220919690318,0.8181254735741301,0.3469347959323526,19327,204,1147,256,1351,0.0645361612687494,cost_1_1,1
LogisticRegression,0.5148484848484849,1,10,0.8635234546670488,0.747908500670006,0.2712397734424166,0.6143977191732003,0.37633704431346865,0.34551187261078775,0.8181254735741301,0.3469347959323526,17215,2316,541,862,7726,0.3690646794688067,cost_1_10,1
MajorityClass,0.5,1,1,0.9329798414063246,0.5,0.0,0.0,0.0,0.0,0.5,0.06702015859367536,19531,0,1403,0,1403,0.06702015859367536,cost_1_1,1
MajorityClass,0.5,1,10,0.9329798414063246,0.5,0.0,0.0,0.0,0.0,0.5,0.06702015859367536,19531,0,1403,0,14030,0.6702015859367536,cost_1_10,1
MLP,0.9306060606060605,1,1,0.935989299703831,0.5680993714581272,0.5929203539823009,0.14326443335709194,0.23076923076923078,0.2698257714620791,0.8392483714596964,0.36710358151532474,19393,138,1202,201,1340,0.06401070029616891,cost_1_1,1
MLP,0.598989898989899,1,10,0.8573612305340594,0.7614757802470791,0.2678204752126723,0.6507483962936564,0.3794679966749792,0.3541685756430405,0.8392483714596964,0.36710358151532474,17035,2496,490,913,7396,0.353300850291392,cost_1_10,1
ContextualBandit_cost_1_1,0.5,1,1,0.8158498137002006,0.7670145197102999,0.22424651372019794,0.7106200997861725,0.34091297657719266,0.32650304107598477,0.8205002460952384,0.2611243034268454,16082,3449,406,997,3855,0.18415018629979937,cost_1_1,1
ContextualBandit_cost_1_10,0.5,1,10,0.2820770039170727,0.6026830785629352,0.0834556126192223,0.9729151817533856,0.15372487189594009,0.12423486916204425,0.7852873146854682,0.21095382849347982,4540,14991,38,1365,15371,0.734260055412248,cost_1_10,1
ContextualBandit_IPS_cost_1_1,0.5,1,1,0.8316136428776154,0.7635545888943187,0.23763600395647874,0.68496079828938,0.35285478244905455,0.3338652784136157,0.821248202639859,0.297075144986333,16448,3083,442,961,3525,0.16838635712238464,cost_1_1,1
ContextualBandit_IPS_cost_1_10,0.5,1,10,0.469379956052355,0.6686609619964504,0.10313241187535782,0.8987883107626514,0.18503301540719003,0.17113601538439752,0.811290313810386,0.32703855029075796,8565,10966,142,1261,12386,0.591669055125633,cost_1_10,1
AutoTunedMLP,0.9355555555555555,1,1,0.9368969141110156,0.5603163061898454,0.6518518518518519,0.12544547398431932,0.21040047818290497,0.26734171499645776,0.8410302673969736,0.37796181735402395,19437,94,1227,176,1321,0.06310308588898443,cost_1_1,2
AutoTunedMLP,0.5643434343434344,1,10,0.8406420177701347,0.767731493107089,0.24902622695403792,0.6835352815395581,0.36505519604111153,0.34558246767615775,0.8410302673969736,0.37796181735402395,16639,2892,444,959,7332,0.35024362281456006,cost_1_10,2
LogisticRegression,0.9850505050505051,1,1,0.9368013757523646,0.5632421152724183,0.6379310344827587,0.13186029935851745,0.21854695806261076,0.2706023317109071,0.8228394555096777,0.3644255643003567,19426,105,1218,185,1323,0.06319862424763542,cost_1_1,2
LogisticRegression,0.4851515151515151,1,10,0.852536543422184,0.7565746951325767,0.25915331807780323,0.6457590876692801,0.3698714023270055,0.34403358742124174,0.8228394555096777,0.3644255643003567,16941,2590,497,906,7560,0.36113499570077384,cost_1_10,2
MajorityClass,0.5,1,1,0.9329798414063246,0.5,0.0,0.0,0.0,0.0,0.5,0.06702015859367536,19531,0,1403,0,1403,0.06702015859367536,cost_1_1,2
MajorityClass,0.5,1,10,0.9329798414063246,0.5,0.0,0.0,0.0,0.0,0.5,0.06702015859367536,19531,0,1403,0,14030,0.6702015859367536,cost_1_10,2
MLP,0.9207070707070707,1,1,0.9371357600076431,0.6024532230192161,0.5838150289017341,0.21596578759800428,0.3152965660770031,0.3295249670795845,0.842167064271566,0.38022243420838586,19315,216,1100,303,1316,0.06286423999235694,cost_1_1,2
MLP,0.5395959595959596,1,10,0.8306104901117799,0.7706248957876896,0.23935782048163465,0.7013542409123307,0.35690968443960824,0.34069311477153286,0.842167064271566,0.38022243420838586,16404,3127,419,984,7317,0.34952708512467756,cost_1_10,2
ContextualBandit_cost_1_1,0.5,1,1,0.8091621285946308,0.7743461762069642,0.22141014617368873,0.7341411261582323,0.34021469859620146,0.3300245552054558,0.8296129409273261,0.26896514135114347,15909,3622,373,1030,3995,0.19083787140536926,cost_1_1,2
ContextualBandit_cost_1_10,0.5,1,10,0.26774625011942293,0.5986415477151608,0.08250389734980214,0.9807555238774056,0.15220397101930203,0.12257676477818946,0.7972359346270907,0.2565214671590015,4229,15302,27,1376,15572,0.7438616604566733,cost_1_10,2
ContextualBandit_IPS_cost_1_1,0.5,1,1,0.8191936562529856,0.7631833020320822,0.22570244127130354,0.6985032074126871,0.3411662315056571,0.3246273627605664,0.8194408158559854,0.2903890987359832,16169,3362,423,980,3785,0.18080634374701443,cost_1_1,2
ContextualBandit_IPS_cost_1_10,0.5,1,10,0.4781217158689214,0.677315168279913,0.10548558170367915,0.9073414112615823,0.18899858956276447,0.1794673481011405,0.8184355970020136,0.34511894802929877,8736,10795,130,1273,12095,0.5777682239419126,cost_1_10,2
AutoTunedMLP,0.9058585858585858,1,1,0.9377567593388746,0.5918703249066591,0.6136363636363636,0.1924447612259444,0.29300054259359737,0.3202997644665605,0.8244439738379614,0.368787398407238,19361,170,1133,270,1303,0.062243240661125444,cost_1_1,3
AutoTunedMLP,0.6187878787878788,1,10,0.8576956147893379,0.7484238281500182,0.2627934978928356,0.6222380612972203,0.36952380952380953,0.34002446707069844,0.8244439738379614,0.368787398407238,17082,2449,530,873,7749,0.3701633705932932,cost_1_10,3
LogisticRegression,0.9702020202020202,1,1,0.937231298366294,0.5810037977894528,0.6149870801033591,0.16963649322879543,0.2659217877094972,0.3007438527598279,0.8110409888798965,0.3552104275073608,19382,149,1165,238,1314,0.06276870163370593,cost_1_1,3
