component,explained_variance_ratio,cumulative_explained_variance
1,0.1600185849738357,0.1600185849738357
2,0.12518660046291538,0.2852051854367511
3,0.10848936290546655,0.3936945483422177
4,0.09248174197208053,0.4861762903142982
5,0.06574272080118447,0.5519190111154827
6,0.06250320325731426,0.614422214372797
7,0.06245601387805283,0.6768782282508499
8,0.06177892248791657,0.7386571507387665
9,0.05948591374652346,0.7981430644852899
10,0.04806246914141678,0.8462055336267067
11,0.04455466603947677,0.8907601996661835
12,0.043032509876155714,0.9337927095423392
13,0.042230267970711506,0.9760229775130507
14,0.018251933990802834,0.9942749115038535
15,0.005725088496146461,1.0
16,9.787232803375937e-17,1.0
