feature,importance_mean,importance_std
RevolvingUtilizationOfUnsecuredLines,0.08067463654411311,0.005162126113296759
NumberOfTime30-59DaysPastDueNotWorse,0.01945072960885561,0.0017072939530371044
NumberOfTimes90DaysLate,0.01726041001426548,0.001383712769653498
NumberRealEstateLoansOrLines,0.014119754295825505,0.0011044027828958534
NumberOfTime60-89DaysPastDueNotWorse,0.013693037386373263,0.0008764931195488432
age,0.012375946266419602,0.0022944299418283637
TotalPastDueEvents,0.008708540791921005,0.0008346782707654055
NumberOfOpenCreditLinesAndLoans,0.007357495335492769,0.001990375505883242
MonthlyIncome,0.004769332057998765,0.00029035898702602065
CreditLinesPerRealEstateLoan,0.004260667200303492,0.0007733300978377982
NumberOfDependents,0.0037184092224792796,0.000864409683859917
DebtRatio,0.0034851116254831283,0.000389584360345131
MonthlyIncome_was_missing,0.0017618688466794375,0.0005631026900923514
DelinquencyFields_was_missing,0.0007602881639516612,0.00010830488764975424
NumberOfDependents_was_missing,0.0003363646609043869,0.0001046000489043253
age_was_missing,0.0,0.0
